,scores
801,-1.4790928770888685
802,-394.0296594463908
803,-544.1873163962381
804,-0.5167174280661719
805,-128.86212083122984
806,-128.97828149484664
807,-395.76568005821076
808,-245.20590044122065
809,-125.77554290721564
810,-543.9244329160107
811,-260.38938062640693
812,-129.00805292602263
813,-258.7665877699752
814,-130.62148098687965
815,-129.71292372471692
816,-126.89463907269187
817,-135.19640136946745
818,-132.05465245176072
819,-131.13610081874882
820,-270.4097761121704
821,-1.7231599067583132
822,-254.2508843908703
823,-527.1882703748975
824,-287.69154167969754
825,-129.3006752848023
826,-506.01061966304906
827,-0.7213136502300851
828,-133.60116639756225
829,-125.74817716640686
830,-255.84668678891742
831,-251.85025242290385
832,-128.7833263675384
833,-128.20873981228286
834,-125.32686113892815
835,-127.60798453361062
836,-129.88422549891422
837,-125.09804378830276
838,-129.99132809873214
839,-250.7803037439222
840,-128.2965282708178
841,-512.2356537414156
842,-401.54951739966367
843,-512.4604528995013
844,-371.15383334230773
845,-515.3717395979038
846,-130.16614404863213
847,-129.0585233369859
848,-0.8101801453135558
849,-266.40333443810675
850,-130.43587043880223
851,-267.4998444071716
852,-292.19256586485153
853,-525.7152887521979
854,-129.71132324507718
855,-0.537978181800264
856,-265.1424968313707
857,-128.8914019882258
858,-252.11713936718726
859,-257.1484746346639
860,-254.54064027596388
861,-251.55167953337005
862,-256.7573852205524
863,-399.2517240704932
864,-129.63167920831106
865,-128.42324995265014
866,-129.84921850500905
867,-0.6256150029814798
868,-293.1376000773506
869,-127.55793161911225
870,-530.1798915586724
871,-534.5101914816186
872,-125.14741365025827
873,-262.72260095662824
874,-130.63345232680294
875,-375.009888319076
876,-367.15302704910624
877,-381.8614199542506
878,-281.3477460530677
879,-0.9556231326953355
880,-126.8896021887366
881,-454.5708313331173
882,-253.65641313768288
883,-485.5270283912755
884,-133.47063169107338
885,-127.79010389345385
886,-2.0148807764316152
887,-125.07885623015522
888,-127.99534416944404
889,-129.71094125530226
890,-128.78402663790683
891,-374.35061035918096
892,-263.40394872908644
893,-479.63658777508215
894,-129.91062310614385
895,-257.2204906617389
896,-129.9937673887542
897,-130.34936947237622
898,-367.1644173939004
899,-259.0242474590797
900,-372.29372989298827
901,-131.3193699579297
902,-268.7344704858383
903,-381.5373981630625
904,-411.913380366445
905,-127.102816219329
906,-266.130003568548
907,-1.3642736421870352
908,-128.9577616840216
909,-378.9364177883272
910,-126.22188186186477
911,-128.94510686938548
912,-254.0300521726138
913,-131.79010201662788
914,-127.85235667381033
915,-244.98325777220205
916,-355.0510641115277
917,-447.4699743973155
918,-384.6644027980122
919,-130.16749544979166
920,-127.45421422858395
921,-266.76659339718015
922,-485.5777357641089
923,-277.1543000013831
924,-260.05109550224824
925,-392.7884957833189
926,-0.6903948382644645
927,-259.0459815691094
928,-426.1092066669541
929,-128.60056120691877
930,-378.4188487330219
931,-251.92705339797462
932,-0.5455501506949728
933,-125.26202343844368
934,-478.90134800956895
935,-123.38220171616553
936,-129.01182482825956
937,-132.6920282638826
938,-266.4545683576083
939,-129.32122489320153
940,-0.5442721116686872
941,-129.37619775244676
942,-487.20031213248603
943,-1.2092447953478944
944,-366.59740333605174
945,-0.671428147517905
946,-0.4996356489245796
947,-128.96890091987242
948,-132.31353760921616
949,-388.5105682153048
950,-129.36904455509912
951,-252.80238341345716
952,-254.10169735962714
953,-1.5016719058633743
954,-380.6210169822181
955,-509.8540599436128
956,-128.8131233263907
957,-243.7385219911017
958,-258.8787520310868
959,-385.89185074666176
960,-421.2578415625822
961,-252.69941618145248
962,-130.71156037595986
963,-500.6917422960167
964,-393.97948137848107
965,-262.526051500644
966,-130.9483471641851
967,-126.32672907253736
968,-129.29976100674787
969,-396.92300645984756
970,-132.28716649155166
971,-377.88245922000857
972,-129.35532498249773
973,-1.4298069760560204
974,-253.03690188769622
975,-0.9473170112101488
976,-259.8664026040692
977,-128.26124572314873
978,-394.80636389746195
979,-133.1116901558782
980,-127.73940584625686
981,-127.68647047200834
982,-1.2417480167717032
983,-131.33695982912883
984,-383.6734330129847
985,-262.61847116871115
986,-266.679166779377
987,-380.292561676192
988,-129.92057517743945
989,-127.20007280873931
990,-128.07528737283215
991,-383.0366658694886
992,-503.98967390993755
993,-131.18401528205655
994,-262.9424286183234
995,-513.7611405483879
996,-128.5843130414759
997,-360.2655646747549
998,-131.7659029118945
999,-126.15997388996742
1000,-266.68691604666645
1001,-255.31516332588262
1002,-257.3722583893419
1003,-128.20603367092275
1004,-395.94082911671643
1005,-127.78763726101748
1006,-1.9984470126350204
1007,-129.63953843486865
1008,-131.66768486380624
1009,-129.66264851508438
1010,-130.43263627916076
1011,-0.8339003385396027
1012,-2.0907457087322796
1013,-261.71771888156763
1014,-419.25858573321085
1015,-253.32128914230563
1016,-129.74204284721264
1017,-0.8563486401220504
1018,-575.7269175404166
1019,-247.5850200730161
1020,-125.103219342076
1021,-131.3426213388583
1022,-392.6727671045247
1023,-260.8304517833436
1024,-243.83372814382315
1025,-258.2638086680524
1026,-391.3988026477186
1027,-129.20453483733237
1028,-252.7393934342484
1029,-387.96553865020724
1030,-253.8710382841439
1031,-0.797445965796315
1032,-131.80892958166635
1033,-1.0384310345318344
1034,-267.38210524420776
1035,-244.4887927515375
1036,-273.598047517258
1037,-510.12753169733185
1038,-130.7158330884023
1039,-128.6209659639564
1040,-269.79715572261193
1041,-395.1327046097852
1042,-129.21237560406112
1043,-467.59992124724533
1044,-265.08103971444456
1045,-128.9200778093004
1046,-2.6813209048117486
1047,-0.5443188606026198
1048,-131.3329751542083
1049,-133.1999063825338
1050,-363.6629335533337
1051,-262.9625562721531
1052,-129.04549082310947
1053,-258.39319117160915
1054,-0.6466812050136609
1055,-405.5126190806098
1056,-252.23531355072305
1057,-130.21546899457653
1058,-0.48775402965623343
1059,-321.27578802595855
1060,-128.57634329986942
1061,-131.21976429293304
1062,-258.5824163523116
1063,-482.08635023283745
1064,-129.45778386578928
1065,-126.9869725247751
1066,-254.81514412019195
1067,-0.590486823904427
1068,-127.28369394820113
1069,-427.96733903059436
1070,-129.58735282830418
1071,-385.0679478394705
1072,-130.11085669000616
1073,-385.8930388568537
1074,-252.85509299552095
1075,-378.29458808418957
1076,-267.4592891126426
1077,-462.51681342854323
1078,-256.50121595584807
1079,-383.43325565803053
1080,-254.595079885555
1081,-128.73975798855372
1082,-132.6224226142271
1083,-126.55212843487956
1084,-265.7529289419259
1085,-378.04326597295085
1086,-128.94527120712226
1087,-129.88186753306698
1088,-248.25133059460086
1089,-430.51413137821436
1090,-2.2164496255836075
1091,-252.2462967315721
1092,-125.30154414185799
1093,-247.63798559674962
1094,-130.02802077619015
1095,-380.25210394846505
1096,-0.8576921094020356
1097,-261.83654088857685
1098,-265.4583520973648
1099,-128.5789364583266
1100,-131.12406154564408
1101,-128.23557405365435
1102,-125.83724350421235
1103,-535.0991054516204
1104,-261.6624862708259
1105,-243.56131048489016
1106,-454.6748557052483
1107,-264.49565643145473
1108,-372.69814175692517
1109,-131.73312364790132
1110,-130.30174165040913
1111,-127.31436664013468
1112,-0.4680988081006185
1113,-255.8127114363118
1114,-257.6772337470205
1115,-131.23645309499983
1116,-129.1055740635486
1117,-130.42883470663443
1118,-388.5806814263189
1119,-378.9435424508063
1120,-414.4502022680766
1121,-128.24069789109865
1122,-129.6013240625309
1123,-130.52759769429414
1124,-131.7531695932426
1125,-0.6850382179622916
1126,-404.37230976312134
1127,-131.24793785378216
1128,-255.27338989405817
1129,-252.4996315060271
1130,-130.26949465618318
1131,-127.05772568509262
1132,-130.33057773092085
1133,-0.8503340950907248
1134,-245.5794482400734
1135,-418.87450129232263
1136,-127.25011250582035
1137,-128.57024712686933
1138,-256.1225458441999
1139,-368.7503203879311
1140,-258.0092190014991
1141,-261.9107191040159
1142,-1.3323358214112329
1143,-393.9290701319711
1144,-269.6939393579097
1145,-131.27679117515882
1146,-128.82196193702114
1147,-125.3283994946465
1148,-271.3300688972296
1149,-391.69555877818533
1150,-129.32144703317303
1151,-126.80593557654734
1152,-128.70304630508022
1153,-128.48655911992117
1154,-392.46884870238216
1155,-2.572606180610363
1156,-129.37008791181984
1157,-371.25469782119865
1158,-126.0517729300006
1159,-127.55584060995338
1160,-407.05116855831153
1161,-130.06823603938014
1162,-128.00650709579506
1163,-343.2448973769477
1164,-128.12024442594372
1165,-264.4923915989656
1166,-271.0733438276124
1167,-1.255965143654211
1168,-395.2620975380184
1169,-128.2875466541993
1170,-369.34165721302907
1171,-256.36904577034716
1172,-247.61310947762334
1173,-130.5244670349353
1174,-382.5877079221189
1175,-272.1422293691427
1176,-131.22813976737027
1177,-246.04601849574502
1178,-248.7689271032055
1179,-130.50560296532734
1180,-240.38966609407035
1181,-128.08956700188065
1182,-128.22122133063377
1183,-416.3802255124085
1184,-132.98419026458484
1185,-130.2166040968953
1186,-128.63584131624583
1187,-1.045091672154951
1188,-384.6921847632145
1189,-254.16966680539804
1190,-347.42532037486734
1191,-380.1946033578505
1192,-378.0877987480783
1193,-408.3106124573687
1194,-131.50187229611666
1195,-261.1416461136314
1196,-123.02226275577515
1197,-265.64684307589584
1198,-256.37374117756633
1199,-370.2676434530481
1200,-129.65752816326346
1201,-127.58040307043855
1202,-129.20703065794896
1203,-260.7976704819217
1204,-376.10181784203564
1205,-129.24162475722844
1206,-261.58013215920244
1207,-389.0015373218041
1208,-130.14912358691043
1209,-277.8314438661809
1210,-129.39653634928106
1211,-132.07658209660957
1212,-414.9897719876962
1213,-130.54073304622216
1214,-127.60529951924718
1215,-126.1988089063368
1216,-261.7513878007036
1217,-127.44842649771296
1218,-259.2887929090523
1219,-133.45832106658563
1220,-257.77004111726234
1221,-129.084425865069
1222,-271.69647743128417
1223,-130.22262648314492
1224,-128.8260003839546
1225,-250.40600472210835
1226,-128.17241580408353
1227,-256.8701833627986
1228,-366.7318691417533
1229,-379.0637100729107
1230,-128.15958011047886
